시장형태,등록형태,시도,시군구,시장명,주소(지번),주소(도로명),"시장크기 (1=대형시장, 2=중대형시장, 3=중형시장, 4=소형시장)",시장면적(㎡),전체점포수,x,y
전통시장,등록,제주,서귀포시,고성오일시장,제주특별자치도 서귀포시 성산읍 고성리 1180-34 ,제주특별자치도 서귀포시 성산읍 고성오조로 93,4,"7,113",74,126.9128147,33.45186236
전통시장,등록,제주,서귀포시,대정오일시장,제주특별자치도 서귀포시 대정읍 하모리 1089-15,제주특별자치도 서귀포시 대정읍 신영로36번길 65,3,"17,714",279,126.2482128,33.22060697
전통시장,등록,제주,서귀포시,모슬포중앙시장,제주특별자치도 서귀포시 대정읍 하모리 824-2,제주특별자치도 서귀포시 대정읍 상모로 327,4,"3,300",77,126.2545138,33.22206691
전통시장,인정,제주,서귀포시,서귀포매일올레시장,제주특별자치도 서귀포시 서귀동 277-1 ,제주특별자치도 서귀포시 중앙로 62번길 18 ,3,"11,468",188,126.5632305,33.25014898
전통시장,등록,제주,서귀포시,서귀포향토오일시장,제주특별자치도 서귀포시 동홍동 779-1,제주특별자치도 서귀포시 토평서로11번길 142,2,"42,900",582,126.5737419,33.26778949
전통시장,등록,제주,서귀포시,성산오일시장,제주특별자치도 서귀포시 성산읍 성산리 181-6,제주특별자치도 서귀포시 성산읍 성산중앙로 37번길 6,4,"1,665",6,126.9331378,33.46381723
전통시장,등록,제주,서귀포시,중문오일시장,제주특별자치도 서귀포시 중문동 2123-1,제주특별자치도 서귀포시 서귀포시 중문동 2123-1,4,"6,885",73,126.4242044,33.2508387
전통시장,등록,제주,서귀포시,표선오일시장,제주특별자치도 서귀포시 표선면 표선동서로 203-1,제주특별자치도 서귀포시 표선면 표선리 1001-1,4,"7,917",62,126.8302541,33.32234321
전통시장,등록,제주,제주시,도남시장,제주특별자치도 제주시 신성로7길 13,제주특별자치도 제주시 도남동 923의 13,4,"3,220",80,126.5288772,33.49647067
전통시장,등록,제주,제주시,동문시장(주),제주특별자치도 제주시 일도1동 1148-2 ,제주특별자치도 제주시 동문로 16,4,"2,314",97,126.5283197,33.51279665
전통시장,등록,제주,제주시,보성시장,제주특별자치도 제주시 이도1동 1289-52,제주특별자치도 제주시 동광로 1길 32,4,"1,682",72,126.5279393,33.50330867
전통시장,등록,제주,제주시,세화오일시장,제주특별자치도 제주시 구좌읍 세화리 1500-5,제주특별자치도 제주시 구좌읍 해맞이해안로 1412,3,"4,950",152,126.857297,33.52618605
전통시장,등록,제주,제주시,신산시장,제주특별자치도 제주시 일도2동 377-11,제주특별자치도 제주시 고마로17길 11,4,990,37,126.54198,33.50603629
전통시장,인정,제주,제주시,제주동문수산시장,제주특별자치도 제주시 이도1동 1348-1,제주특별자치도 제주시 오현길 81,3,"4,713",122,126.5249028,33.51206638
전통시장,등록,제주,제주시,제주시동문공설시장,제주특별자치도 제주시 일도1동 1103,제주특별자치도 제주시 동문로 4길9,3,"2,802",165,126.5282423,33.51208743
전통시장,인정,제주,제주시,제주시동문재래시장,제주특별자치도 제주시 이도1동 1436-7,제주특별자치도 제주시 관덕로14길 20,3,"17,490",361,126.5260182,33.51159028
전통시장,등록,제주,제주시,제주시민속오일시장,제주특별자치도 제주시 도두1동 1212,제주특별자치도 제주시 오일장서길 26,1,"46,200","1,040",126.4748884,33.49724701
전통시장,등록,제주,제주시,제주시서문공설시장,제주특별자치도 제주시  용담1동 135-9,제주특별자치도 제주시 서문로4길 13-2,4,"2,502",89,126.5179062,33.51135116
전통시장,인정,제주,제주시,제주칠성로상점가(칠성로상점가),제주특별자치도 제주시 일도1동 1476-20,제주특별자치도 제주시 관덕로 13길 12,3,"4,752",203,126.5261153,33.51402567
전통시장,인정,제주,제주시,중앙로상점가,제주특별자치도 제주시 이도일동 1460,제주특별자치도 제주시 이도일동 중앙로 91,3,"3,000",135,126.5239614,33.51018078
전통시장,인정,제주,제주시,한림매일시장,제주특별자치시도 제주시 한림읍 한림리 1315-4,제주특별자치시도 제주시 한림읍 한림로 681,4,"2,970",66,126.2649254,33.41611176
전통시장,등록,제주,제주시,한림민속오일시장(한림오일시장),제주특별자치도 제주시 한림읍 대림리 1698-4,제주특별자치도 제주시 한림읍 한수풀로4길 10,3,"16,122",165,126.2745037,33.41983247
전통시장,등록,제주,제주시,함덕오일시장,제주특별자치도 제주시 조천읍 함덕리 972-7 ,제주특별자치도 제주시 조천읍 함덕16길 15-13 ,4,"4,912",74,126.6679607,33.54025266
전통시장,등록,제주,제주시,화북종합시장,제주특별자치도 제주시 화북1동 1947,제주특별자치도 제주시 청풍길 14,4,"2,003",31,126.5658683,33.5226529
